Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
Amit Mishra,43184,0.0,0.0,0.0,305,8053,1668.1,4318400.0,4.824755856449584,50809
Amit Singh,3250,0.0,0.0,0.0,28,620,78.1,325000.0,7.83817951959545,3950
Amit Uniyal,354,0.0,0.0,0.0,2,66,6.0,35400.0,9.428571428571429,404
Amjad Javed,527,0.0,0.0,0.0,1,117,14.0,52700.0,7.8,552
Amjad Khan,123,0.0,0.0,0.0,2,34,4.0,12300.0,6.8,173
Anand Rajan,1136,0.0,0.0,0.0,8,201,24.5,113600.0,7.882352941176471,1336
Anaru Kitchen,369,0.0,0.0,0.0,2,46,6.0,36900.0,6.571428571428571,419
Anderson Cummins,308,0.0,0.0,0.0,1,74,9.0,30800.0,7.4,333
Andile Phehlukwayo,16118,0.0,0.0,0.0,93,2598,443.0,1611800.0,5.851351351351352,18443
Andre Adams,443,0.0,0.0,0.0,3,104,15.3,44300.0,6.380368098159509,518
Andre Botha,5077,0.0,0.0,0.0,28,820,176.0,507700.0,4.632768361581921,5777
Andre Fletcher,710,0.0,0.0,0.0,0,34,5.4,71000.0,5.3125,710
Andre McCarthy,154,0.0,0.0,0.0,0,12,2.0,15400.0,4.0,154
Andre Nel,3037,0.0,0.0,0.0,23,603,164.7,303700.0,3.63910681955341,3612
Andre Russell,29900,0.0,0.0,0.0,157,4746,623.2,2990000.0,7.603332265299583,33825
Andrew Ellis,2404,0.0,0.0,0.0,12,392,67.0,240400.0,5.764705882352941,2704
Andrew Fekete,2311,0.0,0.0,0.0,10,405,39.5,231100.0,10.0,2561
Andrew Flintoff,8393,0.0,0.0,0.0,54,1458,355.0,839300.0,4.095505617977528,9743
Andrew Hall,1990,0.0,0.0,0.0,11,344,69.9,199000.0,4.851904090267983,2265
Andrew Mathieson,192,0.0,0.0,0.0,1,40,4.0,19200.0,8.0,217
Andrew McDonald,3175,0.0,0.0,0.0,16,408,46.0,317500.0,8.680851063829786,3575
